2023-03-15-18-34: epoch: 1 |tot_loss 2.089973 | iou_loss 3.568654 | l1_loss 0.000000 | conf_loss 5.538430 | cls_loss 0.699625 | reid_loss 0.107511 | time 123.283333
2023-03-15-20-40: epoch: 2 |tot_loss 1.756445 | iou_loss 3.337549 | l1_loss 0.000000 | conf_loss 4.172117 | cls_loss 0.681536 | reid_loss 0.095938 | time 125.866667
2023-03-15-22-40: epoch: 3 |tot_loss 1.601505 | iou_loss 3.194367 | l1_loss 0.000000 | conf_loss 3.559639 | cls_loss 0.672010 | reid_loss 0.090398 | time 120.333333
2023-03-16-00-39: epoch: 4 |tot_loss 1.511772 | iou_loss 3.111564 | l1_loss 0.000000 | conf_loss 3.225606 | cls_loss 0.664089 | reid_loss 0.087668 | time 118.900000
2023-03-16-02-37: epoch: 5 |tot_loss 1.445025 | iou_loss 3.041541 | l1_loss 0.000000 | conf_loss 2.971620 | cls_loss 0.657041 | reid_loss 0.086054 | time 118.100000
2023-03-16-04-38: epoch: 6 |tot_loss 1.417817 | iou_loss 3.012562 | l1_loss 0.000000 | conf_loss 2.889788 | cls_loss 0.653512 | reid_loss 0.085197 | time 120.533333
2023-03-16-06-35: epoch: 7 |tot_loss 1.371725 | iou_loss 2.967418 | l1_loss 0.000000 | conf_loss 2.742566 | cls_loss 0.648308 | reid_loss 0.083892 | time 117.033333
2023-03-16-08-32: epoch: 8 |tot_loss 1.363716 | iou_loss 2.960032 | l1_loss 0.000000 | conf_loss 2.717037 | cls_loss 0.646806 | reid_loss 0.083748 | time 116.916667
2023-03-16-10-29: epoch: 9 |tot_loss 1.415743 | iou_loss 3.023322 | l1_loss 0.000000 | conf_loss 2.863722 | cls_loss 0.652392 | reid_loss 0.085278 | time 116.966667
2023-03-16-12-26: epoch: 10 |tot_loss 1.310468 | iou_loss 2.917117 | l1_loss 0.000000 | conf_loss 2.578687 | cls_loss 0.642066 | reid_loss 0.081743 | time 116.950000
2023-03-16-14-25: epoch: 11 |tot_loss 1.334315 | iou_loss 2.928865 | l1_loss 0.000000 | conf_loss 2.635103 | cls_loss 0.643033 | reid_loss 0.082806 | time 118.683333
2023-03-16-16-21: epoch: 12 |tot_loss 1.287940 | iou_loss 2.883259 | l1_loss 0.000000 | conf_loss 2.505162 | cls_loss 0.638409 | reid_loss 0.081397 | time 116.000000
2023-03-16-18-17: epoch: 13 |tot_loss 1.232824 | iou_loss 2.832437 | l1_loss 0.000000 | conf_loss 2.380956 | cls_loss 0.633119 | reid_loss 0.079399 | time 116.183333
