2023-01-21-16-21: epoch: 1 |tot_loss 0.910508 | iou_loss 2.607958 | l1_loss 0.000000 | conf_loss 1.159953 | cls_loss 0.653821 | reid_loss 0.003773 | time 29.450000
2023-01-21-16-50: epoch: 2 |tot_loss 0.386549 | iou_loss 2.027978 | l1_loss 0.000000 | conf_loss 0.582156 | cls_loss 0.540333 | reid_loss 0.002685 | time 29.450000
2023-01-21-17-20: epoch: 3 |tot_loss 0.167358 | iou_loss 1.823515 | l1_loss 0.000000 | conf_loss 0.468682 | cls_loss 0.505071 | reid_loss 0.002390 | time 29.466667
2023-01-21-17-49: epoch: 4 |tot_loss 0.122564 | iou_loss 1.779463 | l1_loss 0.000000 | conf_loss 0.446605 | cls_loss 0.497168 | reid_loss 0.002330 | time 29.500000
2023-01-21-18-19: epoch: 5 |tot_loss 0.080873 | iou_loss 1.740895 | l1_loss 0.000000 | conf_loss 0.430332 | cls_loss 0.490170 | reid_loss 0.002291 | time 29.416667
2023-01-21-18-48: epoch: 6 |tot_loss 0.038247 | iou_loss 1.701110 | l1_loss 0.000000 | conf_loss 0.414488 | cls_loss 0.482816 | reid_loss 0.002236 | time 29.416667
2023-01-21-19-18: epoch: 7 |tot_loss -0.000168 | iou_loss 1.671618 | l1_loss 0.000000 | conf_loss 0.401206 | cls_loss 0.477229 | reid_loss 0.002206 | time 29.383333
2023-01-21-19-47: epoch: 8 |tot_loss -0.038430 | iou_loss 1.642833 | l1_loss 0.000000 | conf_loss 0.388918 | cls_loss 0.471829 | reid_loss 0.002151 | time 29.450000
2023-01-21-20-17: epoch: 9 |tot_loss -0.072881 | iou_loss 1.622671 | l1_loss 0.000000 | conf_loss 0.378616 | cls_loss 0.467935 | reid_loss 0.002121 | time 29.466667
2023-01-21-20-46: epoch: 10 |tot_loss -0.110938 | iou_loss 1.594060 | l1_loss 0.000000 | conf_loss 0.367916 | cls_loss 0.462301 | reid_loss 0.002086 | time 29.400000
2023-01-21-21-15: epoch: 11 |tot_loss -0.143725 | iou_loss 1.576993 | l1_loss 0.000000 | conf_loss 0.359922 | cls_loss 0.458985 | reid_loss 0.002050 | time 29.433333
2023-01-21-21-45: epoch: 12 |tot_loss -0.180560 | iou_loss 1.550612 | l1_loss 0.000000 | conf_loss 0.351321 | cls_loss 0.453691 | reid_loss 0.002017 | time 29.416667
2023-01-21-22-14: epoch: 13 |tot_loss -0.216291 | iou_loss 1.527402 | l1_loss 0.000000 | conf_loss 0.342808 | cls_loss 0.449019 | reid_loss 0.001983 | time 29.383333
2023-01-21-22-44: epoch: 14 |tot_loss -0.249482 | iou_loss 1.509177 | l1_loss 0.000000 | conf_loss 0.336055 | cls_loss 0.445291 | reid_loss 0.001950 | time 29.416667
2023-01-21-23-13: epoch: 15 |tot_loss -0.286429 | iou_loss 1.483705 | l1_loss 0.000000 | conf_loss 0.328062 | cls_loss 0.440188 | reid_loss 0.001900 | time 29.500000
2023-01-21-23-25: epoch: 16 |tot_loss 1.248803 | iou_loss 2.446865 | l1_loss 1.194231 | conf_loss 2.228680 | cls_loss 0.604088 | reid_loss 0.008322 | time 11.566667
2023-01-21-23-36: epoch: 17 |tot_loss 0.763709 | iou_loss 2.230535 | l1_loss 1.070004 | conf_loss 1.378617 | cls_loss 0.569219 | reid_loss 0.007417 | time 11.550000
2023-01-21-23-48: epoch: 18 |tot_loss 0.559282 | iou_loss 2.121110 | l1_loss 0.997060 | conf_loss 1.076766 | cls_loss 0.552375 | reid_loss 0.007100 | time 11.550000
2023-01-22-00-00: epoch: 19 |tot_loss 0.415286 | iou_loss 2.025699 | l1_loss 0.928286 | conf_loss 0.909642 | cls_loss 0.537438 | reid_loss 0.006851 | time 11.550000
2023-01-22-00-11: epoch: 20 |tot_loss 0.319428 | iou_loss 1.957214 | l1_loss 0.882018 | conf_loss 0.821605 | cls_loss 0.526221 | reid_loss 0.006646 | time 11.533333
