2023-01-23-19-24: epoch: 1 |tot_loss 0.865647 | iou_loss 2.520377 | l1_loss 0.000000 | conf_loss 1.079758 | cls_loss 0.641618 | reid_loss 0.003625 | time 29.466667
2023-01-23-19-54: epoch: 2 |tot_loss 0.367347 | iou_loss 2.005724 | l1_loss 0.000000 | conf_loss 0.550793 | cls_loss 0.536509 | reid_loss 0.002631 | time 29.516667
2023-01-23-20-23: epoch: 3 |tot_loss 0.148881 | iou_loss 1.802756 | l1_loss 0.000000 | conf_loss 0.446563 | cls_loss 0.501535 | reid_loss 0.002339 | time 29.483333
2023-01-23-20-53: epoch: 4 |tot_loss 0.101591 | iou_loss 1.751956 | l1_loss 0.000000 | conf_loss 0.425825 | cls_loss 0.492469 | reid_loss 0.002273 | time 29.483333
2023-01-23-21-22: epoch: 5 |tot_loss 0.061098 | iou_loss 1.716512 | l1_loss 0.000000 | conf_loss 0.411348 | cls_loss 0.486006 | reid_loss 0.002233 | time 29.450000
2023-01-23-21-52: epoch: 6 |tot_loss 0.020197 | iou_loss 1.680618 | l1_loss 0.000000 | conf_loss 0.397694 | cls_loss 0.479240 | reid_loss 0.002186 | time 29.450000
2023-01-23-22-21: epoch: 7 |tot_loss -0.018634 | iou_loss 1.649903 | l1_loss 0.000000 | conf_loss 0.385382 | cls_loss 0.473393 | reid_loss 0.002153 | time 29.433333
2023-01-23-22-51: epoch: 8 |tot_loss -0.055910 | iou_loss 1.622617 | l1_loss 0.000000 | conf_loss 0.375048 | cls_loss 0.468161 | reid_loss 0.002106 | time 29.483333
2023-01-23-23-20: epoch: 9 |tot_loss -0.092725 | iou_loss 1.596720 | l1_loss 0.000000 | conf_loss 0.364946 | cls_loss 0.463093 | reid_loss 0.002073 | time 29.450000
2023-01-23-23-49: epoch: 10 |tot_loss -0.129173 | iou_loss 1.571469 | l1_loss 0.000000 | conf_loss 0.355786 | cls_loss 0.458125 | reid_loss 0.002041 | time 29.400000
2023-01-24-00-19: epoch: 11 |tot_loss -0.163322 | iou_loss 1.551361 | l1_loss 0.000000 | conf_loss 0.348173 | cls_loss 0.454142 | reid_loss 0.001990 | time 29.500000
2023-01-24-00-48: epoch: 12 |tot_loss -0.199874 | iou_loss 1.525348 | l1_loss 0.000000 | conf_loss 0.340557 | cls_loss 0.448925 | reid_loss 0.001962 | time 29.466667
2023-01-24-01-18: epoch: 13 |tot_loss -0.234192 | iou_loss 1.504761 | l1_loss 0.000000 | conf_loss 0.333456 | cls_loss 0.444750 | reid_loss 0.001930 | time 29.433333
2023-01-24-01-47: epoch: 14 |tot_loss -0.265983 | iou_loss 1.489069 | l1_loss 0.000000 | conf_loss 0.327863 | cls_loss 0.441519 | reid_loss 0.001894 | time 29.466667
2023-01-24-02-17: epoch: 15 |tot_loss -0.299537 | iou_loss 1.469486 | l1_loss 0.000000 | conf_loss 0.322052 | cls_loss 0.437498 | reid_loss 0.001864 | time 29.450000
2023-01-24-02-28: epoch: 16 |tot_loss 1.312829 | iou_loss 2.463385 | l1_loss 1.137010 | conf_loss 2.354176 | cls_loss 0.607182 | reid_loss 0.008426 | time 11.533333
2023-01-24-02-40: epoch: 17 |tot_loss 0.805973 | iou_loss 2.230106 | l1_loss 1.018376 | conf_loss 1.498336 | cls_loss 0.569287 | reid_loss 0.007349 | time 11.533333
2023-01-24-02-52: epoch: 18 |tot_loss 0.580071 | iou_loss 2.118872 | l1_loss 0.951407 | conf_loss 1.146372 | cls_loss 0.552311 | reid_loss 0.007009 | time 11.533333
2023-01-24-03-03: epoch: 19 |tot_loss 0.420282 | iou_loss 2.012841 | l1_loss 0.882042 | conf_loss 0.956486 | cls_loss 0.535483 | reid_loss 0.006731 | time 11.533333
2023-01-24-03-15: epoch: 20 |tot_loss 0.307727 | iou_loss 1.935396 | l1_loss 0.829213 | conf_loss 0.842207 | cls_loss 0.522665 | reid_loss 0.006504 | time 11.533333
