2023-01-24-19-19: epoch: 1 |tot_loss 1.047534 | iou_loss 2.608472 | l1_loss 0.000000 | conf_loss 1.564904 | cls_loss 0.624611 | reid_loss 0.023876 | time 34.633333
2023-01-24-19-54: epoch: 2 |tot_loss 0.334498 | iou_loss 2.023796 | l1_loss 0.000000 | conf_loss 0.602798 | cls_loss 0.533780 | reid_loss 0.018601 | time 34.616667
2023-01-24-20-29: epoch: 3 |tot_loss 0.050843 | iou_loss 1.781610 | l1_loss 0.000000 | conf_loss 0.481392 | cls_loss 0.491940 | reid_loss 0.017187 | time 34.666667
2023-01-24-21-04: epoch: 4 |tot_loss -0.009413 | iou_loss 1.725600 | l1_loss 0.000000 | conf_loss 0.459380 | cls_loss 0.481572 | reid_loss 0.016816 | time 34.683333
2023-01-24-21-38: epoch: 5 |tot_loss -0.063303 | iou_loss 1.682496 | l1_loss 0.000000 | conf_loss 0.443110 | cls_loss 0.473392 | reid_loss 0.016615 | time 34.633333
2023-01-24-22-13: epoch: 6 |tot_loss -0.115521 | iou_loss 1.643783 | l1_loss 0.000000 | conf_loss 0.429880 | cls_loss 0.465952 | reid_loss 0.016399 | time 34.650000
2023-01-24-22-48: epoch: 7 |tot_loss -0.166177 | iou_loss 1.608972 | l1_loss 0.000000 | conf_loss 0.417020 | cls_loss 0.459250 | reid_loss 0.016228 | time 34.633333
2023-01-24-23-23: epoch: 8 |tot_loss -0.217379 | iou_loss 1.573694 | l1_loss 0.000000 | conf_loss 0.405521 | cls_loss 0.452294 | reid_loss 0.016013 | time 34.683333
2023-01-24-23-57: epoch: 9 |tot_loss -0.264304 | iou_loss 1.546661 | l1_loss 0.000000 | conf_loss 0.395919 | cls_loss 0.446873 | reid_loss 0.015859 | time 34.683333
2023-01-25-00-32: epoch: 10 |tot_loss -0.310043 | iou_loss 1.520091 | l1_loss 0.000000 | conf_loss 0.387343 | cls_loss 0.441674 | reid_loss 0.015763 | time 34.633333
2023-01-25-01-07: epoch: 11 |tot_loss -0.354713 | iou_loss 1.497341 | l1_loss 0.000000 | conf_loss 0.378773 | cls_loss 0.437119 | reid_loss 0.015615 | time 34.683333
2023-01-25-01-42: epoch: 12 |tot_loss -0.399240 | iou_loss 1.473949 | l1_loss 0.000000 | conf_loss 0.371371 | cls_loss 0.432297 | reid_loss 0.015466 | time 34.666667
2023-01-25-02-16: epoch: 13 |tot_loss -0.440014 | iou_loss 1.455047 | l1_loss 0.000000 | conf_loss 0.364722 | cls_loss 0.428475 | reid_loss 0.015432 | time 34.650000
2023-01-25-02-51: epoch: 14 |tot_loss -0.482028 | iou_loss 1.433988 | l1_loss 0.000000 | conf_loss 0.358783 | cls_loss 0.424055 | reid_loss 0.015339 | time 34.616667
2023-01-25-03-26: epoch: 15 |tot_loss -0.522712 | iou_loss 1.415818 | l1_loss 0.000000 | conf_loss 0.352626 | cls_loss 0.420337 | reid_loss 0.015235 | time 34.633333
2023-01-25-03-41: epoch: 16 |tot_loss 0.348165 | iou_loss 1.620721 | l1_loss 0.582192 | conf_loss 0.574280 | cls_loss 0.466226 | reid_loss 0.053009 | time 15.450000
2023-01-25-03-57: epoch: 17 |tot_loss 0.122584 | iou_loss 1.435150 | l1_loss 0.487986 | conf_loss 0.415933 | cls_loss 0.429121 | reid_loss 0.050611 | time 15.466667
2023-01-25-04-12: epoch: 18 |tot_loss 0.044631 | iou_loss 1.366659 | l1_loss 0.456136 | conf_loss 0.378894 | cls_loss 0.414732 | reid_loss 0.049630 | time 15.416667
2023-01-25-04-28: epoch: 19 |tot_loss -0.006684 | iou_loss 1.323260 | l1_loss 0.436483 | conf_loss 0.356793 | cls_loss 0.405502 | reid_loss 0.049056 | time 15.383333
2023-01-25-04-43: epoch: 20 |tot_loss -0.051259 | iou_loss 1.287318 | l1_loss 0.419810 | conf_loss 0.339134 | cls_loss 0.397710 | reid_loss 0.048606 | time 15.400000
2023-01-25-04-59: epoch: 21 |tot_loss -0.089538 | iou_loss 1.259560 | l1_loss 0.408103 | conf_loss 0.325276 | cls_loss 0.391680 | reid_loss 0.048171 | time 15.400000
2023-01-25-05-14: epoch: 22 |tot_loss -0.125246 | iou_loss 1.234081 | l1_loss 0.397812 | conf_loss 0.314123 | cls_loss 0.386120 | reid_loss 0.047791 | time 15.400000
2023-01-25-05-30: epoch: 23 |tot_loss -0.158584 | iou_loss 1.211693 | l1_loss 0.387680 | conf_loss 0.306100 | cls_loss 0.381144 | reid_loss 0.047422 | time 15.416667
2023-01-25-05-45: epoch: 24 |tot_loss -0.184888 | iou_loss 1.196130 | l1_loss 0.380517 | conf_loss 0.298274 | cls_loss 0.377723 | reid_loss 0.047218 | time 15.416667
2023-01-25-06-01: epoch: 25 |tot_loss -0.217200 | iou_loss 1.175881 | l1_loss 0.373500 | conf_loss 0.290639 | cls_loss 0.373101 | reid_loss 0.046770 | time 15.400000
2023-01-25-06-16: epoch: 26 |tot_loss -0.243110 | iou_loss 1.162186 | l1_loss 0.367048 | conf_loss 0.284176 | cls_loss 0.370028 | reid_loss 0.046463 | time 15.433333
