2023-01-28-07-30: epoch: 1 |tot_loss 0.719924 | iou_loss 2.411997 | l1_loss 0.000000 | conf_loss 1.104764 | cls_loss 0.603423 | reid_loss 0.010715 | time 67.450000
2023-01-28-08-37: epoch: 2 |tot_loss -0.095164 | iou_loss 1.912043 | l1_loss 0.000000 | conf_loss 0.519085 | cls_loss 0.518753 | reid_loss 0.007733 | time 67.433333
2023-01-28-09-45: epoch: 3 |tot_loss -0.482680 | iou_loss 1.697365 | l1_loss 0.000000 | conf_loss 0.417668 | cls_loss 0.480361 | reid_loss 0.007000 | time 67.683333
2023-01-28-10-53: epoch: 4 |tot_loss -0.556966 | iou_loss 1.655391 | l1_loss 0.000000 | conf_loss 0.400614 | cls_loss 0.472407 | reid_loss 0.006865 | time 67.683333
2023-01-28-12-01: epoch: 5 |tot_loss -0.626622 | iou_loss 1.619398 | l1_loss 0.000000 | conf_loss 0.388447 | cls_loss 0.465462 | reid_loss 0.006798 | time 67.550000
2023-01-28-13-08: epoch: 6 |tot_loss -0.696016 | iou_loss 1.584423 | l1_loss 0.000000 | conf_loss 0.376460 | cls_loss 0.458592 | reid_loss 0.006720 | time 67.516667
2023-01-28-14-16: epoch: 7 |tot_loss -0.761631 | iou_loss 1.555665 | l1_loss 0.000000 | conf_loss 0.366413 | cls_loss 0.452950 | reid_loss 0.006646 | time 67.516667
2023-01-28-15-24: epoch: 8 |tot_loss -0.824876 | iou_loss 1.530443 | l1_loss 0.000000 | conf_loss 0.357782 | cls_loss 0.447876 | reid_loss 0.006566 | time 67.633333
2023-01-28-16-32: epoch: 9 |tot_loss -0.888229 | iou_loss 1.505467 | l1_loss 0.000000 | conf_loss 0.349325 | cls_loss 0.442885 | reid_loss 0.006458 | time 67.700000
2023-01-28-17-39: epoch: 10 |tot_loss -0.948425 | iou_loss 1.484633 | l1_loss 0.000000 | conf_loss 0.342198 | cls_loss 0.438659 | reid_loss 0.006376 | time 67.716667
2023-01-28-18-47: epoch: 11 |tot_loss -1.005771 | iou_loss 1.466174 | l1_loss 0.000000 | conf_loss 0.336533 | cls_loss 0.434902 | reid_loss 0.006340 | time 67.633333
2023-01-28-19-55: epoch: 12 |tot_loss -1.064329 | iou_loss 1.448582 | l1_loss 0.000000 | conf_loss 0.330112 | cls_loss 0.431262 | reid_loss 0.006231 | time 67.833333
2023-01-28-21-03: epoch: 13 |tot_loss -1.120514 | iou_loss 1.431931 | l1_loss 0.000000 | conf_loss 0.325380 | cls_loss 0.427839 | reid_loss 0.006176 | time 67.700000
2023-01-28-22-11: epoch: 14 |tot_loss -1.175800 | iou_loss 1.416201 | l1_loss 0.000000 | conf_loss 0.320633 | cls_loss 0.424527 | reid_loss 0.006135 | time 67.633333
2023-01-28-23-19: epoch: 15 |tot_loss -1.231153 | iou_loss 1.402632 | l1_loss 0.000000 | conf_loss 0.316197 | cls_loss 0.421744 | reid_loss 0.006024 | time 67.783333
2023-01-28-23-46: epoch: 16 |tot_loss 0.426313 | iou_loss 2.002749 | l1_loss 0.881449 | conf_loss 1.258393 | cls_loss 0.528691 | reid_loss 0.029781 | time 27.666667
2023-01-29-00-14: epoch: 17 |tot_loss 0.038092 | iou_loss 1.832464 | l1_loss 0.759057 | conf_loss 0.905157 | cls_loss 0.500032 | reid_loss 0.028232 | time 27.683333
2023-01-29-00-42: epoch: 18 |tot_loss -0.126673 | iou_loss 1.758217 | l1_loss 0.701947 | conf_loss 0.760351 | cls_loss 0.487233 | reid_loss 0.027677 | time 27.683333
2023-01-29-01-10: epoch: 19 |tot_loss -0.236340 | iou_loss 1.703336 | l1_loss 0.660232 | conf_loss 0.674648 | cls_loss 0.477530 | reid_loss 0.027330 | time 27.700000
2023-01-29-01-37: epoch: 20 |tot_loss -0.319758 | iou_loss 1.658678 | l1_loss 0.631008 | conf_loss 0.619519 | cls_loss 0.469622 | reid_loss 0.026926 | time 27.683333
2023-01-29-02-05: epoch: 21 |tot_loss -0.380867 | iou_loss 1.621363 | l1_loss 0.604713 | conf_loss 0.580418 | cls_loss 0.462863 | reid_loss 0.026785 | time 27.700000
2023-01-29-02-33: epoch: 22 |tot_loss -0.431634 | iou_loss 1.594542 | l1_loss 0.587761 | conf_loss 0.551031 | cls_loss 0.457973 | reid_loss 0.026462 | time 27.650000
2023-01-29-03-01: epoch: 23 |tot_loss -0.479878 | iou_loss 1.565888 | l1_loss 0.569748 | conf_loss 0.525209 | cls_loss 0.452637 | reid_loss 0.026118 | time 27.733333
2023-01-29-03-29: epoch: 24 |tot_loss -0.513704 | iou_loss 1.541478 | l1_loss 0.554514 | conf_loss 0.501642 | cls_loss 0.448057 | reid_loss 0.026043 | time 27.716667
2023-01-29-03-56: epoch: 25 |tot_loss -0.553110 | iou_loss 1.517527 | l1_loss 0.540948 | conf_loss 0.482411 | cls_loss 0.443514 | reid_loss 0.025658 | time 27.700000
2023-01-29-04-24: epoch: 26 |tot_loss -0.580841 | iou_loss 1.498098 | l1_loss 0.529585 | conf_loss 0.468357 | cls_loss 0.439745 | reid_loss 0.025471 | time 27.716667
2023-01-29-04-52: epoch: 27 |tot_loss -0.607579 | iou_loss 1.481998 | l1_loss 0.521134 | conf_loss 0.451892 | cls_loss 0.436748 | reid_loss 0.025248 | time 27.683333
2023-01-29-05-20: epoch: 28 |tot_loss -0.632041 | iou_loss 1.463485 | l1_loss 0.510254 | conf_loss 0.438947 | cls_loss 0.433091 | reid_loss 0.025098 | time 27.666667
2023-01-29-05-48: epoch: 29 |tot_loss -0.651106 | iou_loss 1.449868 | l1_loss 0.503163 | conf_loss 0.427438 | cls_loss 0.430406 | reid_loss 0.024981 | time 27.716667
2023-01-29-06-16: epoch: 30 |tot_loss -0.673170 | iou_loss 1.437336 | l1_loss 0.496350 | conf_loss 0.416774 | cls_loss 0.427995 | reid_loss 0.024748 | time 27.683333
2023-01-29-06-43: epoch: 31 |tot_loss -0.692915 | iou_loss 1.420594 | l1_loss 0.489056 | conf_loss 0.406549 | cls_loss 0.424564 | reid_loss 0.024624 | time 27.650000
2023-01-29-07-11: epoch: 32 |tot_loss -0.716175 | iou_loss 1.406223 | l1_loss 0.480954 | conf_loss 0.396014 | cls_loss 0.421697 | reid_loss 0.024390 | time 27.700000
2023-01-29-07-39: epoch: 33 |tot_loss -0.732696 | iou_loss 1.392812 | l1_loss 0.474540 | conf_loss 0.387266 | cls_loss 0.419013 | reid_loss 0.024287 | time 27.650000
2023-01-29-08-07: epoch: 34 |tot_loss -0.753448 | iou_loss 1.383731 | l1_loss 0.469036 | conf_loss 0.379790 | cls_loss 0.417218 | reid_loss 0.024005 | time 27.666667
2023-01-29-08-35: epoch: 35 |tot_loss -0.763036 | iou_loss 1.375046 | l1_loss 0.465784 | conf_loss 0.373034 | cls_loss 0.415461 | reid_loss 0.023974 | time 27.700000
2023-01-29-09-02: epoch: 36 |tot_loss -0.786708 | iou_loss 1.359223 | l1_loss 0.457927 | conf_loss 0.365563 | cls_loss 0.412141 | reid_loss 0.023723 | time 27.650000
2023-01-29-09-30: epoch: 37 |tot_loss -0.796387 | iou_loss 1.348883 | l1_loss 0.454024 | conf_loss 0.360163 | cls_loss 0.410053 | reid_loss 0.023702 | time 27.683333
2023-01-29-09-58: epoch: 38 |tot_loss -0.809576 | iou_loss 1.342397 | l1_loss 0.450914 | conf_loss 0.354856 | cls_loss 0.408745 | reid_loss 0.023542 | time 27.633333
2023-01-29-10-26: epoch: 39 |tot_loss -0.825444 | iou_loss 1.332483 | l1_loss 0.446262 | conf_loss 0.349984 | cls_loss 0.406710 | reid_loss 0.023368 | time 27.666667
2023-01-29-10-53: epoch: 40 |tot_loss -0.846086 | iou_loss 1.323479 | l1_loss 0.442455 | conf_loss 0.343987 | cls_loss 0.404773 | reid_loss 0.023075 | time 27.633333
2023-01-29-11-21: epoch: 41 |tot_loss -0.854571 | iou_loss 1.316489 | l1_loss 0.440243 | conf_loss 0.340562 | cls_loss 0.403348 | reid_loss 0.023014 | time 27.650000
2023-01-29-11-49: epoch: 42 |tot_loss -0.866238 | iou_loss 1.309664 | l1_loss 0.436018 | conf_loss 0.335916 | cls_loss 0.401946 | reid_loss 0.022905 | time 27.633333
2023-01-29-12-17: epoch: 43 |tot_loss -0.877627 | iou_loss 1.299121 | l1_loss 0.431530 | conf_loss 0.331494 | cls_loss 0.399695 | reid_loss 0.022848 | time 27.633333
2023-01-29-12-44: epoch: 44 |tot_loss -0.893532 | iou_loss 1.292623 | l1_loss 0.430267 | conf_loss 0.327990 | cls_loss 0.398327 | reid_loss 0.022601 | time 27.650000
2023-01-29-13-12: epoch: 45 |tot_loss -0.897325 | iou_loss 1.287380 | l1_loss 0.428004 | conf_loss 0.324691 | cls_loss 0.397265 | reid_loss 0.022630 | time 27.666667
2023-01-29-13-40: epoch: 46 |tot_loss -0.913652 | iou_loss 1.277974 | l1_loss 0.423072 | conf_loss 0.319316 | cls_loss 0.395297 | reid_loss 0.022462 | time 27.666667
2023-01-29-14-08: epoch: 47 |tot_loss -0.927243 | iou_loss 1.274903 | l1_loss 0.421805 | conf_loss 0.317911 | cls_loss 0.394679 | reid_loss 0.022214 | time 27.633333
2023-01-29-14-35: epoch: 48 |tot_loss -0.936474 | iou_loss 1.268279 | l1_loss 0.418928 | conf_loss 0.315162 | cls_loss 0.393253 | reid_loss 0.022138 | time 27.616667
2023-01-29-15-03: epoch: 49 |tot_loss -0.943915 | iou_loss 1.260324 | l1_loss 0.416498 | conf_loss 0.311517 | cls_loss 0.391520 | reid_loss 0.022121 | time 27.633333
2023-01-29-15-31: epoch: 50 |tot_loss -0.953010 | iou_loss 1.256246 | l1_loss 0.414750 | conf_loss 0.309021 | cls_loss 0.390608 | reid_loss 0.022007 | time 27.616667
2023-01-29-15-59: epoch: 51 |tot_loss -0.970439 | iou_loss 1.250846 | l1_loss 0.411930 | conf_loss 0.305741 | cls_loss 0.389501 | reid_loss 0.021739 | time 27.616667
2023-01-29-16-26: epoch: 52 |tot_loss -0.970306 | iou_loss 1.247482 | l1_loss 0.410127 | conf_loss 0.305144 | cls_loss 0.388730 | reid_loss 0.021806 | time 27.616667
2023-01-29-16-54: epoch: 53 |tot_loss -0.987783 | iou_loss 1.240354 | l1_loss 0.408014 | conf_loss 0.301512 | cls_loss 0.387278 | reid_loss 0.021557 | time 27.650000
2023-01-29-17-22: epoch: 54 |tot_loss -0.991795 | iou_loss 1.235760 | l1_loss 0.406518 | conf_loss 0.298606 | cls_loss 0.386239 | reid_loss 0.021566 | time 27.616667
2023-01-29-17-50: epoch: 55 |tot_loss -1.010416 | iou_loss 1.231143 | l1_loss 0.404483 | conf_loss 0.297046 | cls_loss 0.385247 | reid_loss 0.021247 | time 27.600000
2023-01-29-18-17: epoch: 56 |tot_loss -1.018716 | iou_loss 1.222335 | l1_loss 0.400456 | conf_loss 0.292511 | cls_loss 0.383356 | reid_loss 0.021252 | time 27.683333
2023-01-29-18-45: epoch: 57 |tot_loss -1.019831 | iou_loss 1.221495 | l1_loss 0.400529 | conf_loss 0.292588 | cls_loss 0.383156 | reid_loss 0.021238 | time 27.650000
2023-01-29-19-13: epoch: 58 |tot_loss -1.042373 | iou_loss 1.214893 | l1_loss 0.396853 | conf_loss 0.289464 | cls_loss 0.381675 | reid_loss 0.020895 | time 27.633333
2023-01-29-19-41: epoch: 59 |tot_loss -1.039314 | iou_loss 1.212776 | l1_loss 0.396707 | conf_loss 0.287936 | cls_loss 0.381292 | reid_loss 0.021003 | time 27.616667
2023-01-29-20-08: epoch: 60 |tot_loss -1.049351 | iou_loss 1.210080 | l1_loss 0.395553 | conf_loss 0.286908 | cls_loss 0.380708 | reid_loss 0.020842 | time 27.666667
2023-01-29-20-36: epoch: 61 |tot_loss -1.062144 | iou_loss 1.204560 | l1_loss 0.393818 | conf_loss 0.284895 | cls_loss 0.379503 | reid_loss 0.020670 | time 27.633333
2023-01-29-21-04: epoch: 62 |tot_loss -1.067227 | iou_loss 1.201133 | l1_loss 0.391790 | conf_loss 0.281957 | cls_loss 0.378718 | reid_loss 0.020651 | time 27.600000
2023-01-29-21-32: epoch: 63 |tot_loss -1.075287 | iou_loss 1.196857 | l1_loss 0.390673 | conf_loss 0.281571 | cls_loss 0.377786 | reid_loss 0.020547 | time 27.616667
2023-01-29-21-59: epoch: 64 |tot_loss -1.086645 | iou_loss 1.188275 | l1_loss 0.387002 | conf_loss 0.278761 | cls_loss 0.375872 | reid_loss 0.020469 | time 27.633333
2023-01-29-22-27: epoch: 65 |tot_loss -1.091621 | iou_loss 1.191841 | l1_loss 0.388153 | conf_loss 0.279042 | cls_loss 0.376732 | reid_loss 0.020314 | time 27.616667
2023-01-29-22-55: epoch: 66 |tot_loss -1.102481 | iou_loss 1.188768 | l1_loss 0.386786 | conf_loss 0.277494 | cls_loss 0.376066 | reid_loss 0.020153 | time 27.550000
2023-01-29-23-22: epoch: 67 |tot_loss -1.108858 | iou_loss 1.178651 | l1_loss 0.382998 | conf_loss 0.272928 | cls_loss 0.373781 | reid_loss 0.020216 | time 27.650000
2023-01-29-23-50: epoch: 68 |tot_loss -1.113526 | iou_loss 1.181218 | l1_loss 0.383903 | conf_loss 0.273791 | cls_loss 0.374434 | reid_loss 0.020076 | time 27.633333
2023-01-30-00-18: epoch: 69 |tot_loss -1.122395 | iou_loss 1.178031 | l1_loss 0.382786 | conf_loss 0.273365 | cls_loss 0.373692 | reid_loss 0.019947 | time 27.583333
2023-01-30-00-46: epoch: 70 |tot_loss -1.128298 | iou_loss 1.169584 | l1_loss 0.379569 | conf_loss 0.270176 | cls_loss 0.371847 | reid_loss 0.019983 | time 27.616667
2023-01-30-01-13: epoch: 71 |tot_loss -1.139255 | iou_loss 1.167714 | l1_loss 0.379355 | conf_loss 0.268310 | cls_loss 0.371417 | reid_loss 0.019803 | time 27.650000
2023-01-30-01-41: epoch: 72 |tot_loss -1.145605 | iou_loss 1.165928 | l1_loss 0.378592 | conf_loss 0.267317 | cls_loss 0.371019 | reid_loss 0.019713 | time 27.633333
2023-01-30-02-09: epoch: 73 |tot_loss -1.146089 | iou_loss 1.160489 | l1_loss 0.376051 | conf_loss 0.265658 | cls_loss 0.369743 | reid_loss 0.019805 | time 27.633333
2023-01-30-02-36: epoch: 74 |tot_loss -1.154415 | iou_loss 1.159383 | l1_loss 0.375874 | conf_loss 0.264320 | cls_loss 0.369530 | reid_loss 0.019666 | time 27.633333
2023-01-30-03-04: epoch: 75 |tot_loss -1.166908 | iou_loss 1.156947 | l1_loss 0.374011 | conf_loss 0.264909 | cls_loss 0.368993 | reid_loss 0.019457 | time 27.633333
2023-01-30-03-32: epoch: 76 |tot_loss -1.171011 | iou_loss 1.154994 | l1_loss 0.374047 | conf_loss 0.263224 | cls_loss 0.368561 | reid_loss 0.019415 | time 27.616667
2023-01-30-04-00: epoch: 77 |tot_loss -1.189647 | iou_loss 1.149872 | l1_loss 0.371768 | conf_loss 0.261187 | cls_loss 0.367395 | reid_loss 0.019146 | time 27.616667
2023-01-30-04-27: epoch: 78 |tot_loss -1.186314 | iou_loss 1.147408 | l1_loss 0.371187 | conf_loss 0.260578 | cls_loss 0.366891 | reid_loss 0.019252 | time 27.650000
2023-01-30-04-55: epoch: 79 |tot_loss -1.194775 | iou_loss 1.146901 | l1_loss 0.371009 | conf_loss 0.259772 | cls_loss 0.366751 | reid_loss 0.019103 | time 27.633333
