2023-02-03-17-16: epoch: 80 |tot_loss -1.156214 | iou_loss 1.186435 | l1_loss 0.385901 | conf_loss 0.270989 | cls_loss 0.375796 | reid_loss 0.019186 | time 28.050000
2023-02-03-17-44: epoch: 81 |tot_loss -1.170456 | iou_loss 1.180800 | l1_loss 0.383599 | conf_loss 0.268849 | cls_loss 0.374532 | reid_loss 0.019014 | time 27.983333
2023-02-03-18-12: epoch: 82 |tot_loss -1.180193 | iou_loss 1.177420 | l1_loss 0.382304 | conf_loss 0.267261 | cls_loss 0.373815 | reid_loss 0.018889 | time 27.950000
2023-02-03-18-40: epoch: 83 |tot_loss -1.177646 | iou_loss 1.181023 | l1_loss 0.384503 | conf_loss 0.269009 | cls_loss 0.374634 | reid_loss 0.018866 | time 27.966667
2023-02-03-19-08: epoch: 84 |tot_loss -1.191652 | iou_loss 1.179445 | l1_loss 0.384001 | conf_loss 0.267809 | cls_loss 0.374261 | reid_loss 0.018632 | time 27.966667
2023-02-03-19-36: epoch: 85 |tot_loss -1.189629 | iou_loss 1.176130 | l1_loss 0.382397 | conf_loss 0.266170 | cls_loss 0.373617 | reid_loss 0.018734 | time 28.033333
2023-02-03-20-04: epoch: 86 |tot_loss -1.203548 | iou_loss 1.171768 | l1_loss 0.380842 | conf_loss 0.265090 | cls_loss 0.372551 | reid_loss 0.018542 | time 28.050000
2023-02-03-20-32: epoch: 87 |tot_loss -1.210819 | iou_loss 1.172103 | l1_loss 0.381409 | conf_loss 0.264941 | cls_loss 0.372694 | reid_loss 0.018399 | time 28.050000
2023-02-03-21-01: epoch: 88 |tot_loss -1.220635 | iou_loss 1.165221 | l1_loss 0.377812 | conf_loss 0.262057 | cls_loss 0.371187 | reid_loss 0.018345 | time 28.033333
2023-02-03-21-29: epoch: 89 |tot_loss -1.224007 | iou_loss 1.166597 | l1_loss 0.379294 | conf_loss 0.262806 | cls_loss 0.371442 | reid_loss 0.018251 | time 28.050000
2023-02-03-21-57: epoch: 90 |tot_loss -1.241829 | iou_loss 1.161746 | l1_loss 0.376717 | conf_loss 0.259068 | cls_loss 0.370409 | reid_loss 0.018027 | time 28.033333
2023-02-03-22-25: epoch: 91 |tot_loss -1.249791 | iou_loss 1.160023 | l1_loss 0.377324 | conf_loss 0.259819 | cls_loss 0.370028 | reid_loss 0.017890 | time 28.050000
